Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
SOUTH BAY INN & SUITES,Unite,States, 9.0 ,"1 swimming pool, Beachfront, Free parking, Free WiFi, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Set along the boardwalk on Myrtle Beach, SOUTH BAY INN & SUITES is an oceanfront property that provides a seasonal outdoor swimming pool and rooms with free WiFi access. 1.2 miles from Myrtle Beach Convention Center, the hotel features a fitness centre and a terrace.","“Everything was great friendly staff and great location!”
“Great prices for a fantastic view, friendly staff, and a great water park.”
"
Hyatt House across from Universal Orlando Resort,Unite,States, 9.3 ,"1 swimming pool, Parking, Free WiFi, Family rooms, Non-smoking rooms, Bar",Hyatt House across from Universal Orlando Resort is conveniently located a 3 minutes' drive from Universal Orlando Resort. Guests can start their day with a complimentary buffet breakfast and then take a dip in the pool. Complimentary WiFi is provided for all guests. Complimentary shuttle service is provided to Universal Orlando Resort.,"“Breakfast was okay considering the circumstances due to Covid-19.”
“Rooms kept really clean, the beds were really really comfy, best pillows ever!! Great location for Universal. Would definitely come back x x”
"
GLō Best Western Asheville Tunnel Road,Unite,States, 9.2 ,"Free parking, Free WiFi, Non-smoking rooms, Family rooms, 
very good fitness centre
","Set within 3.7 miles of Biltmore Estate and 1.6 miles of Innsbruck Mall, GLō Best Western Asheville Tunnel Road provides rooms in Asheville. The property is located 2.2 miles from Folk Art Center, 3.1 miles from US Cellular Center and 3.1 miles from Green Man Brewery. The accommodation offers a fitness centre, free WiFi throughout the property and family rooms.","“I love the simplest of the rooms very nice for travelers I like the way the lights are set up the desk area overall very nice.. There is also a beautiful view from my room.”
“The hotel was very clean and the staff were very pleasant! The best part of the room was the ""black out"" shade over the window. We slept amazing and enjoyed our stay here. We will definitley stay here our next trip to Asheville!”
"
The Laureate Key West,Unite,States, 9.1 ,"1 swimming pool, Parking, Pets allowed, Family rooms, Non-smoking rooms","Set within 1.4 miles of Smathers Beach and 1.4 miles of Key West Beaches, The Laureate Key West offers rooms in Key West. Featuring an outdoor swimming pool, this 3-star hotel has air-conditioned rooms with a private bathroom. Private parking can be arranged at an extra charge.","“Great location and view, daily cookies provided was a nice touch”
“The three bedroom suite was huge and very comfortable We really loved the hotel/rooms decorationEveryone in the team was very friendly and helpful”
"
Hyatt House Nashville at Vanderbilt,Unite,States, 9.2 ,"1 swimming pool, Pets allowed, Free WiFi, Non-smoking rooms, Restaurant, 
good fitness centre
, Tea/coffee maker in all rooms, Bar","Hyatt House Nashville at Vanderbilt features a restaurant, seasonal outdoor swimming pool, a fitness centre and bar in Nashville. This 3-star hotel offers a 24-hour front desk and a business centre. Free WiFi is available and private parking can be arranged at an extra charge.","“The room was more than what we expected.  Very clean and spacious.  The beds were comfortable and the bathroom was big and clean!!  The employee at the front desk was very nice and helpful.  I would definitely stay here again.”
“Beautiful room. Great kitchen! All of the plugs! Location!”
"
Comfort Suites Denver International Airport,Unite,States, 9.0 ,"1 swimming pool, Parking, Airport shuttle (free), Free WiFi, Pets allowed","Located in Denver and with Colorado Convention Center reachable within 26 km, Comfort Suites Denver International Airport provides express check-in and check-out, allergy-free rooms, a fitness centre, free WiFi throughout the property and a shared lounge. The property is around 17.4 miles from Pepsi Center, 13.7 miles from Denver Museum of Nature and Science and 13.7 miles from Denver Zoo. The hotel features an indoor pool and a 24-hour front desk.","“Location was great but the continental breakfast did not appear to be very good so I ate somewhere else.  I’m sure this is due to the COVID 19 though.”
“When we arrived we were asked to switch to a partner hotel that was adjacent to the Comfort inn.  It was fine. Apparently the two hotels are owned by the same group. It  was quite nice that they had their airport shuttle operating considering most of the airport hotels didn't due to the virus crisis”
"
La Quinta by Wyndham Kanab,Unite,States, 9.1 ,"Free parking, Pets allowed, Free WiFi, Non-smoking rooms","La Quinta by Wyndham Kanab provides accommodation in Kanab. The accommodation offers a spa centre, free WiFi throughout the property and a 24-hour front desk.","“Lovely Clean room and hotel. Breakfast was good with a variable selection.”
“Attractive room with lots of facilities, I would stay there again!”
"
citizenM Boston North Station,Unite,States, 9.2 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Bar","This hotel is located around the corner from the North End neighborhood at the TD Garden Arena (home to the Boston Celtics and Boston Bruins). citizenM is located at The Hub on Causeway, which includes a retail podium with Star Market, ArcLight Boston movie theater, live entertainment venue, food hall, multi-level sports bar, the entrance to North Station, and an expansion space for TD Garden.","“The staff are professionals! They are polite and friendly to the guests. Amazing view, clean rooms, excellent design in hotel. You’ll find lots of funny and cute  Designer details.”
“Friendly staff.Good location.Modern and clean room, funny little things (I like your sense of humor, citizenM!).Adapter for European gadgets!Tasty breakfast.Creative common space.Great view from the windows.”
"
Lodge of the Ozarks,Unite,States, 9.5 ,"1 swimming pool, Non-smoking rooms, Free WiFi, Facilities for disabled guests, Free parking","Located on “The Strip” in the heart of the Branson theatre district, this hotel is a 4-minute walk from White Water Amusement Park. Connected to the Hughes Brothers Theatre, this hotel offers a complimentary ","“Loved every minute of staying here! The staff was friendly, the room was spacious and sparkling clean. The lodge is located in a busy district with walking distance to lots of entertainment and dining places. Lots of free parkimg space. Great price! Overall, loved it”
“It was all good Bed very comfortable breakfast was good!”
"
Margaritaville Island Hotel,Unite,States, 9.3 ,"1 swimming pool, Non-smoking rooms, Free WiFi, Family rooms, Facilities for disabled guests, Spa and wellness centre, Tea/coffee maker in all rooms, Bar",Relax in the outdoor pool at Margaritaville ,"“The suite was great. The living room had a cosy gas fire and was great to have a night in watching tv with a microwave and fridge so you don’t have to eat out from breakfast to supper. Toilet was very spacious. All very clean.”
“This really is a lovely hotel with very large rooms and excellent facilities. It was clean, the staff were friendly and the shops and restaurants on the Island are within a minute's walk. Any hotel where they bring your Margarita to you while you're swimming in the pool has to be good!”
"
"The Beekman, a Thompson Hotel",Unite,States, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Pets allowed, Restaurant, Bar","The Beekman, a Thompson Hotel is located 550 yards from the Brooklyn Bridge and the Westfield World Trade Centre.","“all good. the bar was very busy at night so not great for a quite chat and drink. the breakfast was good. gym good. location good if you want to work down town but otherwise its a bit far from stuff!”
“Amazing atmosphere in the bar and restaurant - will definitely return and highly recommend,, decor of the hotel is stunning throughout. Food in the french restaurant beautiful as well nothing to dislike,, great run by Hudson River in the morning 😊”
"
Hurricane Wingate at Zion,Unite,States, 9.3 ,"1 swimming pool, Free WiFi","Hurricane Wingate at Zion is set in Hurricane and has a shared lounge and a garden. Featuring an outdoor swimming pool, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The hotel features family rooms.","“Breakfast needed to include gluten-free option.  The shower glass was not wiped down and had water spots, hair on the wall, and hair on toilet seat.  The towels were frayd and dingy.”
“Room has a good size and it was comfortable.
Bathroom was clean and it had glass instead of curtains. 
Located facing the road, it's easy to reach any point around by car, but it had a good noise isolation too. 
Internet speed was very good and the smarTV had a good cable plan and was new.
The decoration inside is nice, it looks neat.
Keurig matching, always nice to have one. ”
"
Fairmont Austin,Unite,States, 9.2 ,"1 swimming pool, Parking, Pets allowed, Non-smoking rooms, WiFi, 
exceptional fitness centre
, Bar","Fairmont Austin offers accommodation located 100 yards from Austin Convention Center. This property is located a short distance from Capitol Building and Frank Erwin Center - University of Texas. The property provides lake views, a sun terrace, a fitness centre, an outdoor swimming pool and a 24-hour front desk.","“Facilities were excellent and staff were very very nice too!”
“I liked almost everything. The accommodations where good. The entertainment was good.”
"
Drury Inn & Suites Gainesville,Unite,States, 9.5 ,"1 swimming pool, Pets allowed, Free parking, Free WiFi, Non-smoking rooms, Family rooms","Set in Gainesville, 3.1 miles from University of Florida, Drury Inn & Suites Gainesville offers accommodation with an outdoor swimming pool, free private parking and a fitness centre. Among the facilities at this property are a 24-hour front desk and an ATM, along with free WiFi throughout the property. Oaks Mall is 4.3 miles away and Gainesville Raceway is 13.7 miles from the hotel.","“Staff was very friendly and polite food was great.Everything was perfect.Most  important the staff was just awesome”
“Free dinner, drinks, popcorn, breakfast!  Very clean.  Relatives that live in Gainesville came to hotel and really liked the lobby/dining area.  Loved the pictures of Gainesville.  Towels were nice, bed and pillows were comfortable.  Wish there were more along 77 from Ohio to SC.”
"
citizenM New York Bowery,Unite,States, 9.1 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Bar","Situated in the Lower East Side district in New York, citizenM New York Bowery is minutes away from the nightlife and restaurants of Bowery. The property is around an 8-minute walk from Bloomingdale's and within 20 minutes' walk of SoHo, Lower Manhattan, and Little Italy. There is a restaurant and a shared lounge.","“We’d stayed here before and had a wonderful experience and all the hallmarks were there this time as well: lovely breakfast (a bit expensive but well worth it, and fair for New York), small but comfortable rooms with large beds, and super friendly, efficient staff. But this time was exceptional. We were in NYC for work as the coronavirus crisis started in early March - and though this was the most difficult of times for the staff themselves, they acted with genuine care and immense dedication. They deserve all our praise for a truly gigantic effort. ”
“Stylish and artsy place, clean room, cool view and nice bar at the top of the building.Every room has a tablet for controlling tv, lights and curtains.”
"
GLō Best Western Asheville Tunnel Road,Unite,States, 9.2 ,"Free parking, Free WiFi, Non-smoking rooms, Family rooms, 
very good fitness centre
","Set within 3.7 miles of Biltmore Estate and 1.6 miles of Innsbruck Mall, GLō Best Western Asheville Tunnel Road provides rooms in Asheville. The property is located 2.2 miles from Folk Art Center, 3.1 miles from US Cellular Center and 3.1 miles from Green Man Brewery. The accommodation offers a fitness centre, free WiFi throughout the property and family rooms.","“I love the simplest of the rooms very nice for travelers I like the way the lights are set up the desk area overall very nice.. There is also a beautiful view from my room.”
“The hotel was very clean and the staff were very pleasant! The best part of the room was the ""black out"" shade over the window. We slept amazing and enjoyed our stay here. We will definitley stay here our next trip to Asheville!”
"
Hyatt House Nashville at Vanderbilt,Unite,States, 9.2 ,"1 swimming pool, Pets allowed, Free WiFi, Non-smoking rooms, Restaurant, 
good fitness centre
, Tea/coffee maker in all rooms, Bar","Hyatt House Nashville at Vanderbilt features a restaurant, seasonal outdoor swimming pool, a fitness centre and bar in Nashville. This 3-star hotel offers a 24-hour front desk and a business centre. Free WiFi is available and private parking can be arranged at an extra charge.","“The room was more than what we expected.  Very clean and spacious.  The beds were comfortable and the bathroom was big and clean!!  The employee at the front desk was very nice and helpful.  I would definitely stay here again.”
“Beautiful room. Great kitchen! All of the plugs! Location!”
"
citizenM Boston North Station,Unite,States, 9.2 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Bar","This hotel is located around the corner from the North End neighborhood at the TD Garden Arena (home to the Boston Celtics and Boston Bruins). citizenM is located at The Hub on Causeway, which includes a retail podium with Star Market, ArcLight Boston movie theater, live entertainment venue, food hall, multi-level sports bar, the entrance to North Station, and an expansion space for TD Garden.","“The staff are professionals! They are polite and friendly to the guests. Amazing view, clean rooms, excellent design in hotel. You’ll find lots of funny and cute  Designer details.”
“Friendly staff.Good location.Modern and clean room, funny little things (I like your sense of humor, citizenM!).Adapter for European gadgets!Tasty breakfast.Creative common space.Great view from the windows.”
"
Hilton Grand Vacations Suites on the Las Vegas Strip,Unite,States, 8.7 ,"1 swimming pool, Family rooms, Non-smoking rooms, WiFi, 
fabulous fitness centre
",Situated on the north end of the ,"“The suites are fully stocked with full kitchen and beds are so comfortable best sleep I ever had away from home.”
“Staff were friendly and so calm during the pandemic and assured us everything was ok.
We felt so secure and comfortable!”
"
The Showboat Hotel Atlantic City,Unite,States, 6.9 ,"1 swimming pool, Beachfront, Free WiFi, Pets allowed, Non-smoking rooms, Fitness centre, Tea/coffee maker in all rooms, Bar","Located along the boardwalk, Showboat Hotel Atlantic City offers accommodation Atlantic City. This beachfront property features on site restaurants.",
"Circus Circus Hotel, Casino & Theme Park",Unite,States, 7.0 ,"1 swimming pool, Free parking, Family rooms, Non-smoking rooms, WiFi, Bar",This ,
Excalibur,Unite,States, 7.7 ,"4 swimming pools, Non-smoking rooms, Free parking, WiFi, 
good fitness centre
, Bar",This castle-themed resort and casino is located central on the ,"“Employees were friendly, bed was comfortable, even though the hotel was SLAMMED BUSY I heard nothing in our room.”
“Booked for a single bed & was given a double bed without consent or warning & front desk was too far from the room so I just kept it”
"
Luxor,Unite,States, 7.8 ,"4 swimming pools, Pets allowed, Non-smoking rooms, Free parking, WiFi, Bar","Known for its iconic pyramid shape, Luxor is located on the ","“The hotel is very clean and beautiful. The room was super comfortable and clean too. We just spent one night but we would have loved to stay longer. ”
“Beautiful hotel. Big rooms. We stayed in the west tower. Huge pool area. Closes at 6pm because of Covid.”
"
Tropicana Casino and Resort,Unite,States, 8.0 ,"2 swimming pools, Free WiFi, Non-smoking rooms, Family rooms, Restaurant, Bar",Situated alongside the ,"“Did NOT  HAVE ANY  NO BREAKFAST SERVICE. REAL SAD.”
“Everything was fantastic the rooms were excellent super clean the staff were great and the entire facility was very clean and up tight I highly recommend staying there again .”
"
Sea Crest Oceanfront Resort,Unite,States, 7.7 ,"2 swimming pools, Beachfront, Free WiFi, Non-smoking rooms, Family rooms, Bar",This oceanfront ,"“Great location, great value for money. Kids loved the pool area.”
“Lots of pools, beachfront, great help from staff, portacrib for kids, let 7s check in super early”
"
TI - Treasure Island Hotel & Casino,Unite,States, 8.4 ,"Free parking, Free WiFi, Non-smoking rooms, 
good fitness centre
, Spa and wellness centre, Restaurant, Bar","Located directly on the Las Vegas Strip, this hotel and casino features a variety of restaurants, bars, a spa and a seasonal outdoor pool. All guest rooms feature a flat-screen LCD TV with digital cable and pay-per-view channels.","“Room was really nice, with partial view to the strip. Hotel is great, it has everything from supermarket/pharmacy to souvenir shops, restaurants and Starbucks inside the hotel and in front of the hotel. Staff was really great and helpful, we were able to leave our luggage in the hotel and go explore before the check-in. They have additional taxes that we had to pay in addition to the room price but every hotel has that so no point to complain.”
“Right on the strip. Staff were friendly and helpful and FREE parking! ”
"
Elite Hotel Carolina Tower,Stockholm,Sweden, 9.0 ,"Free WiFi, Parking, Family rooms, Pets allowed, Non-smoking rooms, 
very good fitness centre
, Bar","Elite Hotel Carolina Tower is situated in Hagastaden next to the Karolinska Institute and Karolinska University Hospital. A gym, sauna and relaxation area are located on the 16th floor, offering great views of the city.","“Breakfast was sensational and the room was stunning!”
“The breakfast buffet was absolutely amazing. You had an incredible amount of choice - the only thing that was missing were frothy cappuccinos. We also really enjoyed having a gym and sauna area - it was fantastic to get a quick workout in before dinner or in the morning and the sauna felt super relaxing. We felt like newborns after a night of partying. The rooms are super stylish and you have everything you need.”
"
Hotel With Urban Deli,Stockholm,Sweden, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Bar",This trendy hotel is located 1 floor below the popular ,"“Hotel is centrally located, with easy access from the airport and to the center. Rooms are exactly like pictured, no window and completely sound proof. Bed was comfortable and rain shower was amazing ! Receptionist was very polite and informed me about everything. Even tho it’s located below very busy restaurant, you don’t hear a thing while being in the hotel part. There are also spots to socialize and you can have dinner or a snack in restaurant/deli upstairs. ”
“The location was superb. Very cost-effective option if you want to stay in the heart of Stockholm.”
"
Downtown Camper by Scandic,Stockholm,Sweden, 9.0 ,"Free WiFi, Spa and wellness centre, Family rooms, Pets allowed, Non-smoking rooms, 
fabulous fitness centre
, Bar","Downtown Camper by Scandic is centrally located in Stockholm, just 8 minutes' walk from Stockholm Central Station. The hotel offers a variety of daily activities for guests, such as movie nights, yoga, kayaking and skateboarding lessons.","“Elegant and cosy hotel in a classy location, with rooftop bar & spa, amazing views, amazing staff... Definitely one of my favourite places to stay, ever :)”
“Clean and well equipped rooms, comfortable beds. Friendly and helpful staff. Fantastic breakfast buffet, exceeded our expectations by far. 
Centrally located close to e.g. Sergels torg, the Central Station and Gamla Stan.”
"
Quality Hotel The Mill,Malmö,Sweden, 9.0 ,"Parking, Free WiFi, Pets allowed, Family rooms, 
superb fitness centre
, Restaurant, Bar","Quality Hotel The Mill is located next to the Möllevången district of Malmö, about 10 minutes' walk from the Triangeln Shopping Centre and Triangeln Train Station. It offers free WiFi, an on-site restaurant with bar, as well as free access to a fitness centre.","“Superb breakfast, helpfull staff and great location”
“Nice room,,and breakfast very good a lot of choices. ”
"
The Vault Hotel,Helsingborg,Sweden, 9.0 ,"Parking, Free WiFi, Restaurant, Non-smoking rooms","Housed in a grand, late 19th-century building, this Helsingborg hotel is next to Kärnan Tower and Stortorget Square. Free WiFi is available.","“We loved the retro-modern design of the hotel. It feels very un-Scandinavian, which was perfect since we wanted a more continental feel after having to cancel our Italian summer holiday due to COVID. The bed in our deluxe double room was comfortable and the pillows were just the right combination of fluffy but firm for a good night’s sleep. As far as location is concerned, you can’t beat it. Its perfectly situated for getting to and from the train station, popping into shops on nearby shopping streets, or going out for drinks and dinner.”
“From the time of entering the hotel until our departure   The staff was really friendly and helpful. The hotel is in an excellent location and the building itself with its old lift/elevator has so much character. ”
"
"Bank Hotel, a Member of Small Luxury Hotels",Stockholm,Sweden, 9.4 ,"Non-smoking rooms, 
very good fitness centre
, Restaurant, Room service, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Bar","Bank hotel is set in central Stockholm, a few minutes' walk from Strandvägen and Stureplan in the Östermalm district. This hotel features free WiFi in public areas, an on-site restaurant serving coastal European cuisine and a fitness centre.","“Great hotel! Very, very clean! Very calm and quiet despite central location. 
Nice concept and over all good vibe. Desk staff very helpful with what ever you would need and have good tips for restaurants.
Good breakfast with vegan options! ”
“location excellent, very comfortable, great breakfast, great bars especially the bar up stairs!”
"
Grand Hôtel Stockholm,Stockholm,Sweden, 9.1 ,"1 swimming pool, Free WiFi, Parking, Spa and wellness centre, Airport shuttle, Non-smoking rooms, Bar","Grand Hôtel Stockholm is situated on the waterfront opposite the Royal Palace and the Old Town, 0.6 miles from Central Station. It offers fine dining, a luxury spa and free Wi-Fi access.","“Breakfast, spa and facilities.Staff was friendly.Overall a good stay.”
“The room was huge and very comfortable. The spa facilities were great.”
"
Steam Hotel,Västerås,Sweden, 9.0 ,"2 swimming pools, Parking, Pets allowed, Free WiFi, Family rooms, Bar","Featuring a rooftop restaurant and bar overlooking Lake Mälaren, Steam Hotel is an 18-storey hotel just 1.2 miles away from central Västerås. Once a former steam plant, guests can now re-energise at the pool club for a surcharge. The pool club includes a sauna, heated pool and bar. WiFi is free.","“The old power plant building is an absolute cool building! The rooms are very well designed and comfortable. 
The breakfast was good as well. 
The staff was extremely friendly, just a security guard treated us like we were suspicious and asked us what we are doing (?!). ”
“Interesting hotel, restored industrial building. Every feature and detail was perfect.”
"
"Radisson Blu Waterfront Hotel, Stockholm",Stockholm,Sweden, 9.0 ,"Free WiFi, Parking, Family rooms, Pets allowed, Non-smoking rooms, Fitness centre, Tea/coffee maker in all rooms, Bar",This luxury hotel is next to the Stockholm Waterfront Congress Centre and the ,"“Great location, clean room, friendly staff and great breakfast buffet”
“Loved the location and a view from the room. Spacious and high-quality room. Staff are very professional, friendly and efficient. ”
"
At Six,Stockholm,Sweden, 9.2 ,"Free WiFi, Parking, Pets allowed, Non-smoking rooms, 
good fitness centre
, Restaurant, Tea/coffee maker in all rooms, Bar","This modern design hotel is centrally located in Stockholm, and features a ","“Breakfast was very generous and very well adapted to the new circumstances. Very high quality of food and service!”
“We had a small dog with us and the only disappointing thing was that the room where dogs were allowed did not even have a water bowl or a blanket for dogs. ”
"
Hotel Opera,Gothenburg,Sweden, 8.0 ,"Spa and wellness centre, Pets allowed, Free WiFi, Family rooms, Fitness centre, Non-smoking rooms, Bar","This hotel is on Drottningtorget Square, 100 yards from Gothenburg Central Station. It offers free gym access, free in-room WiFi, and Italian and American cuisine. Nordstan Shopping Centre is around the corner.","“Perfect location, helpful staff and well-functioned room. The breakfast was good considering the COVID influence.”
“Perfect location and very nice service. We used the pool which was nice but a lot smaller than we expected.”
"
Gothia Towers Hotel,Gothenburg,Sweden, 8.6 ,"Spa and wellness centre, Free WiFi, Family rooms, 
good fitness centre
, Non-smoking rooms, Restaurant, Tea/coffee maker in all rooms, Bar","Set next to the Swedish Exhibition & Congress Centre, this stylish hotel is opposite Liseberg Amusement Park. Stunning panoramic views of Gothenburg can be enjoyed from the 23rd-floor sky bar.","“From the moment I checked in till the day I checked out I felt wellcome. 
The breakfast buffé was excellent, the staff did great in strategically placing people in the restaurants and thereby preventing the eating area from being overcrowded.
Heaven 23 was fantastic! Service, food and drinks were as great as the view! Please thank the cook and the barstaff ANDREAS, LAIGHLAN and the woman bartender.”
“Well served my purpose as an overnight with good connection to the airport. Everything very functional. Excellent fitness centre. Excellent wifi.”
"
Radisson Blu Hotel Malmö,Malmö,Sweden, 8.4 ,"Free WiFi, Pets allowed, Family rooms, 
good fitness centre
, Restaurant, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Only 5 minutes’ walk from Malmö Central Station and a few blocks from the main shopping streets, Radisson Blu Hotel Malmö offers free WiFi, gym and sauna access.","“Everything was greet, comfortable and the hotel become my first choice or next time”
“I like the fact it was conveniently located in the center of town.”
"
"Radisson Blu Scandinavia Hotel, Göteborg",Gothenburg,Sweden, 8.8 ,"Parking, Spa and wellness centre, Pets allowed, Free WiFi, Family rooms, Non-smoking rooms, Tea/coffee maker in all rooms, Bar",This ,"“Very pleasant stay and accommodating staff. I highly recommend Raddison Blu Scandinavia should you find yourself visiting Gothenburg. ”
“The beds were magnificent. Very clean rooms and large rooms with tons of good facilities. Cool to have Chromecast installed on the tv for streaming services. Lovely breakfast and the hotel followed all guidelines for covid regarding distance and amount of people eating breakfast at once as you had to choose a slot for the breakfast when you checked in. Great location and easy access to nearby parking places.”
"
First Hotel G,Gothenburg,Sweden, 8.1 ,"Spa and wellness centre, Pets allowed, Free WiFi, Family rooms, Fitness centre, Non-smoking rooms, Bar","The stylish First Hotel G is situated above Gothenburg Central Station, across from Nordstaden ","“The hotel is very comfortable, clean and luxurious. I am satisfied with all the decisions and the organization of the staff, respecting the hygiene protocol.”
“Great location inside the Central Station
Proximity to shopping, restaurant/bars, harbour
”
"
Hotel Hasselbacken,Stockholm,Sweden, 8.6 ,"Free WiFi, Parking, Family rooms, Pets allowed, Non-smoking rooms, Fitness centre, Bar","The historic Hotel Hasselbacken is located on Djurgården Island in Stockholm, next to the Skansen Open-air Museum. It offers a popular buffet breakfast and rooms with flat-screen satellite TVs and free Wi-Fi.","“Going through renovation, but the price made up for it. The newly renovated rooms and reception are beautiful and stylish.”
“It was great for kids, with lots of activities in the garden as well as indoors. Location is great for families wishing to visit Skansen or Gröna Lund. Nice rooms, clean and modern and with good toiletries.”
"
Hotell Södra Berget,Sundsvall,Sweden, 8.3 ,"Pets allowed, Free parking, Free WiFi, Spa and wellness centre, Restaurant, 
good fitness centre
, Bar","Situated 788 feet above the town of Sundsvall, this hotel offers fantastic views, a popular rooftop spa and a games hall. Both WiFi and private parking are free. Skiing opportunities at Sundsvalls Slalombacke are only a few steps away.","“The spa was excellent. We were very impressed by the wide variety of different spas and saunas. The view from the spa was also amazing. A very enjoyable experience overall.”
“The location is great. The room was really nicely decorated, clean and very comfortable. The breakfast buffet had a large selection.”
"
"Radisson Blu Waterfront Hotel, Stockholm",Stockholm,Sweden, 9.0 ,"Free WiFi, Parking, Family rooms, Pets allowed, Non-smoking rooms, Fitness centre, Tea/coffee maker in all rooms, Bar",This luxury hotel is next to the Stockholm Waterfront Congress Centre and the ,"“Great location, clean room, friendly staff and great breakfast buffet”
“Loved the location and a view from the room. Spacious and high-quality room. Staff are very professional, friendly and efficient. ”
"
Room Mate Bruno,Rotterdam,Netherlands, 9.0 ,"Parking, Spa and wellness centre, Free WiFi, Family rooms, Non-smoking rooms, Fitness centre, Tea/coffee maker in all rooms, Bar",Situated in the Feijenoord district Room Mate Bruno is a boutique hotel set in a former tea warehouse of the Dutch East India Company in Rotterdam. This 4-story building offers views over the Maas river and is located within walking distance from Markthal Rotterdam and only 1.6 miles from Ahoy Rotterdam.,"“Very boutique and stylish interiors. Helpful and friendly staff. 
There were some defects within the room which were remedied immediately. ”
“Brilliant location, great value for money, fabulous design. ”
"
the niu Dairy,Haarlem,Netherlands, 9.0 ,"Free WiFi, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Bar","Set in Haarlem, 1.4 miles from Lunchcafé Teylers Museum, the niu Dairy offers air-conditioned accommodation and a bar. Among the facilities at this property are a 24-hour front desk and a business centre, along with free WiFi throughout the property. Guests can have a drink at the snack bar.","“The place was great and the room was very clean. The recptionist was very friendly and accomodating. ”
“Very friendly staff, 5 minutes walking to the heart of the city, clean rooms and comfortable beds. No complaints at all! ”
"
Hotel Jakarta Amsterdam,Amsterdam,Netherlands, 9.0 ,"1 swimming pool, Parking, Free WiFi, Spa and wellness centre, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Hotel Jakarta Amsterdam is a unique sustainable hotel in Amsterdam at the IJ river, at the former location where ships left for Jakarta. Hotel Jakarta offers 200 luxurious rooms with a Indonesian influenced style.","“Loved the decor of the hotel and the food was absolutely impeccable! I cannot describe how good the food in the hotel actually was! Definitely a must to stay and visit. ”
“Arrived, late in the evening - about 10.00.  Reception held our bags, parked our car and led us straight to the restaurant where we enjoyed a late meal and friendly chat with the waiters.Room was spacious and had a great view across the river to the city.”
"
Grand Hotel Valies,Roermond,Netherlands, 9.3 ,"Parking, Pets allowed, Free WiFi, Family rooms, 
exceptional fitness centre
, Restaurant, Tea/coffee maker in all rooms, Bar","Located in the center of Roermond, 800 yards from Designer Outlet Roermond, Grand Hotel Valies has a bar. This property is set a short distance from attractions such as Stedelijk Museum Roermond. The hotel offers free Wifi and offers paid parking.","“Super location. Wonderful breakfast. Restaurant on site. Kids play area!”
“The property is beter than we expected. Room is very spacious, the bathroom as well. And all brand new. Breakfast is very nice. Location is perfect, lots of bars and restaurants outside . But the we recommend the Hotel’s own restaurant, its fantastic. Its very close to Roermond Shopping Outlet. All in all we had a wonderfull stay. ”
"
Staybridge Suites - The Hague - Parliament,Hague,Netherlands, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms",Staybridge Suites The Hague - Parliament is ideally set in the heart of The Hague. Popular points of interest nearby include the Mauritshuis Museum and the Historical Binnenhof.  The Central train station is a 10-minute walk from the property. Free WiFi is available throughout the hotel.,"“The location , the laudary facility and the kitchenette . Its v good good for a family .”
“Breakfast was good and kept us full until way after lunch. There was a good variety and plenty of choice. The location was brilliant, only a few minutes walk to shops, trams and the very heart of The Haag.Staff were absolutely wonderful - they were so helpful and knowledgeable, helping us with our questions and doing everything they could to keep us comfortable during our stay.”
"
GuestHouse Hotel Kaatsheuvel-Waalwijk,Kaatsheuvel,Netherlands, 9.0 ,"Family rooms, Free parking, Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","Located 10 minutes from Waalwijk and within a 15 minutes drive of the city centre of Tilburg, GuestHouse Hotel Kaatsheuvel offers modern and affordable accommodation with free private parking, a bar and a shared lounge.
","“Loved the room set up, very practical. The proximity to Efteling with the free car parking was a real bonus.”
“Very kid friendly, comfy beds and great location for a visit to the Efteling ”
"
CityHub Rotterdam,Rotterdam,Netherlands, 9.0 ,"Free WiFi, Non-smoking rooms, 24-hour front desk, Lift, Bar, Tea/coffee maker in all rooms","Situated in the Rotterdam City Centre district of Rotterdam, CityHub Rotterdam provides rooms with free WiFi. The property is close to several noted attractions, around 1,000 yards from Markthal Rotterdam and around a 14-minute walk from Kijk-Kubus.","“The staff was very friendly and helpful. The cabins were small as expected but the beds were very comfy. The bracelet allowed for 24h access and egress.”
“Private pod, big and comfy mattress, excellent location, very clean bathroom, easy self check in and check out”
"
